bill_no,intro,link,name,passed,second
"
                 6/2019
            ","
                  11.02.2019
            ",http://www.parliament.gov.sg/docs/default-source/default-document-library/criminal-law-reform-bill-6-2019.pdf?sfvrsn=0,Criminal Law Reform Bill,"
                   06.05.2019
            ","
                   06.05.2019
            "
"
                 5/2019
            ","
                  15.01.2019
            ",http://www.parliament.gov.sg/docs/default-source/default-document-library/singapore-food-agency-bill-5-2019089e25dbcb5f64e2b198ff00006af031.pdf?sfvrsn=0,Singapore Food Agency Bill,"
                   12.02.2019
            ","
                   12.02.2019
            "
"
                 4/2019
            ","
                  15.01.2019
            ",http://www.parliament.gov.sg/docs/default-source/default-document-library/national-parks-board-(amendment)-bill-4-2019.pdf?sfvrsn=0,National Parks Board (Amendment) Bill,"
                   12.02.2019
            ","
                   12.02.2019
            "
"
                 3/2019
            ","
                  14.01.2019
            ",http://www.parliament.gov.sg/docs/default-source/default-document-library/tobacco-(control-of-advertisements-and-sale)-(amendment)-bill-3-2019.pdf?sfvrsn=0,Tobacco (Control of Advertisements and Sale) (Amendment) Bill,"
                   11.02.2019
            ","
                   11.02.2019
            "
"
                 2/2019
            ","
                  14.01.2019
            ",http://www.parliament.gov.sg/docs/default-source/default-document-library/traditional-chinese-medicine-practitioners-(amendment)-bill-2-2019.pdf?sfvrsn=0,Traditional Chinese Medicine Practitioners (Amendment) Bill,"
                   11.02.2019
            ","
                   11.02.2019
            "
"
                 1/2019
            ","
                  14.01.2019
            ",http://www.parliament.gov.sg/docs/default-source/default-document-library/precious-stones-and-precious-metals-(prevention-of-money-laundering-and-terrorism-financing)-bill-1-2019.pdf?sfvrsn=0,Precious Stones and Precious Metals (Prevention of Money Laundering and Terrorism Financing) Bill,"
                   11.02.2019
            ","
                   11.02.2019
            "
"
                 53/2018
            ","
                  20.11.2018
            ",http://www.parliament.gov.sg/docs/default-source/default-document-library/currency-(amendment)-bill-53-2018.pdf?sfvrsn=0,Currency (Amendment) Bill,"
                   14.01.2019
            ","
                   14.01.2019
            "
"
                 52/2018
            ","
                  19.11.2018
            ",http://www.parliament.gov.sg/docs/default-source/default-document-library/infectious-diseases-(amendment)-bill-52-2018.pdf?sfvrsn=0,Infectious Diseases (Amendment) Bill,"
                   14.01.2019
            ","
                   14.01.2019
            "
"
                 51/2018
            ","
                  19.11.2018
            ",http://www.parliament.gov.sg/docs/default-source/default-document-library/misuse-of-drugs-(amendment)-bill-51-2018.pdf?sfvrsn=0,Misuse of Drugs (Amendment) Bill,"
                   15.01.2019
            ","
                   15.01.2019
            "
"
                 50/2018
            ","
                  19.11.2018
            ",http://www.parliament.gov.sg/docs/default-source/default-document-library/chemical-weapons-(prohibition)-(amendment)-bill-50-2018.pdf?sfvrsn=0,Chemical Weapons (Prohibition) (Amendment) Bill,"
                   14.01.2019
            ","
                   14.01.2019
            "
"
                 49/2018
            ","
                  19.11.2018
            ",http://www.parliament.gov.sg/docs/default-source/default-document-library/merchant-shipping-(miscellaneous-amendment)-bill-49-2018.pdf?sfvrsn=0,Merchant Shipping (Miscellaneous Amendments) Bill,"
                   14.01.2019
            ","
                   14.01.2019
            "
"
                 48/2018
            ","
                  19.11.2018
            ",http://www.parliament.gov.sg/docs/default-source/default-document-library/payment-services-bill-48-2018.pdf?sfvrsn=0,Payment Services Bill,"
                   14.01.2019
            ","
                   14.01.2019
            "
"
                 47/2018
            ","
                  02.10.2018
            ",http://www.parliament.gov.sg/docs/default-source/default-document-library/employment-(amendment)-bill-47-2018.pdf?sfvrsn=0,Employment (Amendment) Bill,"
                   20.11.2018
            ","
                   20.11.2018
            "
"
                 46/2018
            ","
                  01.10.2018
            ",http://www.parliament.gov.sg/docs/default-source/default-document-library/goods-and-services-tax-(amendment)-bill-46-2018.pdf?sfvrsn=0,Goods and Services Tax (Amendment) Bill,"
                   19.11.2018
            ","
                   19.11.2018
            "
"
                 45/2018
            ","
                  01.10.2018
            ",http://www.parliament.gov.sg/docs/default-source/default-document-library/developers-(anti-money-laundering-and-terrorism-financing-bill-45-2018.pdf?sfvrsn=0,Developers (Anti-Money Laundering and Terrorism Financing) Bill,"
                   20.11.2018
            ","
                   20.11.2018
            "
"
                 44/2018
            ","
                  01.10.2018
            ",http://www.parliament.gov.sg/docs/default-source/default-document-library/civil-defence-and-other-matters-bill-44-2018.pdf?sfvrsn=0,Civil Defence and Other Matters Bill,"
                   20.11.2018
            ","
                   20.11.2018
            "
"
                 43/2018
            ","
                  01.10.2018
            ",http://www.parliament.gov.sg/docs/default-source/default-document-library/serious-crimes-and-counter-terrorism-(miscellaneous-amendments)-bill-43-2018.pdf?sfvrsn=0,Serious Crimes and Counter-Terrorism (Miscellaneous Amendments) Bill,"
                   19.11.2018
            ","
                   19.11.2018
            "
"
                 42/2018
            ","
                  01.10.2018
            ",http://www.parliament.gov.sg/docs/default-source/default-document-library/legal-aid-and-advice-(amendment)-bill-42-2018.pdf?sfvrsn=0,Legal Aid and Advice (Amendment) Bill,"
                   19.11.2018
            ","
                   19.11.2018
            "
"
                 41/2018
            ","
                  01.10.2018
            ",http://www.parliament.gov.sg/docs/default-source/default-document-library/land-transport-authority-(amdmt)-bill-41-2018.pdf?sfvrsn=0,Land Transport Authority of Singapore (Amendment) Bill,"
                   19.11.2018
            ","
                   19.11.2018
            "
"
                 40/2018
            ","
                  10.09.2018
            ",http://www.parliament.gov.sg/docs/default-source/default-document-library/variable-capital-companies-bill-40-2018.pdf?sfvrsn=0,Variable Capital Companies Bill,"
                   01.10.2018
            ","
                   01.10.2018
            "
"
                 39/2018
            ","
                  10.09.2018
            ",http://www.parliament.gov.sg/docs/default-source/default-document-library/environmental-public-health-(amendment)-bill-39-2018.pdf?sfvrsn=0,Environmental Public Health (Amendment) Bill,"
                   02.10.2018
            ","
                   02.10.2018
            "
"
                 38/2018
            ","
                  10.09.2018
            ",http://www.parliament.gov.sg/docs/default-source/default-document-library/building-and-construction-industry-security-of-payment-(amendment)-bill-38-2018.pdf?sfvrsn=0,Building and Construction Industry Security of Payment (Amendment) Bill,"
                   02.10.2018
            ","
                   02.10.2018
            "
"
                 37/2018
            ","
                  10.09.2018
            ",http://www.parliament.gov.sg/docs/default-source/default-document-library/income-tax-(amendment)-bill-37-2018.pdf?sfvrsn=0,Income Tax (Amendment) Bill,"
                   02.10.2018
            ","
                   02.10.2018
            "
"
                 36/2018
            ","
                  10.09.2018
            ",http://www.parliament.gov.sg/docs/default-source/default-document-library/gas-(amendment)-bill-36-2018.pdf?sfvrsn=0,Gas (Amendment) Bill,"
                   01.10.2018
            ","
                   01.10.2018
            "
"
                 35/2018
            ","
                  10.09.2018
            ",http://www.parliament.gov.sg/docs/default-source/default-document-library/electricity-(amendment)-bill-35-2018.pdf?sfvrsn=0,Electricity (Amendment) Bill,"
                   01.10.2018
            ","
                   01.10.2018
            "
"
                 34/2018
            ","
                  10.09.2018
            ",http://www.parliament.gov.sg/docs/default-source/default-document-library/parliamentary-elections-(amendment)-bill-34-2018.pdf?sfvrsn=0,Parliamentary Elections (Amendment) Bill,"
                   01.10.2018
            ","
                   01.10.2018
            "
"
                 33/2018
            ","
                  10.09.2018
            ",http://www.parliament.gov.sg/docs/default-source/default-document-library/supreme-court-of-judicature-(amendment-no-2)-bill-33-2018.pdf?sfvrsn=0,Supreme Court of Judicature (Amendment No. 2) Bill,"
                   02.10.2018
            ","
                   02.10.2018
            "
"
                 32/2018
            ","
                  10.09.2018
            ",http://www.parliament.gov.sg/docs/default-source/default-document-library/insolvency-restructuring-and-dissolution-bill-32-2018.pdf?sfvrsn=0,"Insolvency, Restructuring and Dissolution Bill","
                   01.10.2018
            ","
                   01.10.2018
            "
"
                 31/2018
            ","
                  06.08.2018
            ",http://www.parliament.gov.sg/docs/default-source/default-document-library/smoking-(prohibition-in-certain-places)-(amendment)-bill-31-2018.pdf?sfvrsn=0,Smoking (Prohibition in Certain Places) (Amendment) Bill,"
                   10.09.2018
            ","
                   10.09.2018
            "
"
                 40/2017
            ","
                  02.10.2017
            ",http://www.parliament.gov.sg/docs/default-source/default-document-library/tobacco-(control-of-advertisements-and-sale)-(amendment)-bill-40-2017.pdf?sfvrsn=0,Tobacco (Control of Advertisements and Sale) (Amendment) Bill,"
                   07.11.2017
            ","
                   07.11.2017
            "
"
                 39/2017
            ","
                  02.10.2017
            ",http://www.parliament.gov.sg/docs/default-source/default-document-library/massage-establishments-bill-39-2017.pdf?sfvrsn=0,Massage Establishments Bill,"
                   06.11.2017
            ","
                   06.11.2017
            "
"
                 38/2017
            ","
                  02.10.2017
            ",http://www.parliament.gov.sg/docs/default-source/default-document-library/workplace-safety-and-health-(amendment)-bill-38-2017.pdf?sfvrsn=0,Workplace Safety and Health (Amendment) Bill,"
                   06.11.2017
            ","
                   06.11.2017
            "
"
                 37/2017
            ","
                  02.10.2017
            ",http://www.parliament.gov.sg/docs/default-source/default-document-library/central-provident-fund-(amendment)-bill-37-2017.pdf?sfvrsn=0,Central Provident Fund (Amendment) Bill,"
                   06.11.2017
            ","
                   06.11.2017
            "
"
                 36/2017
            ","
                  11.09.2017
            ",http://www.parliament.gov.sg/docs/default-source/default-document-library/incomtax-(amendment)-bill-36-2017.pdf?sfvrsn=0,Income Tax (Amendment) Bill,"
                   02.10.2017
            ","
                   02.10.2017
            "
"
                 35/2017
            ","
                  11.09.2017
            ",http://www.parliament.gov.sg/docs/default-source/default-document-library/property-tax-(amendment)-bill-35-2017.pdf?sfvrsn=0,Property Tax (Amendment) Bill,"
                   02.10.2017
            ","
                   02.10.2017
            "
"
                 34/2017
            ","
                  11.09.2017
            ",http://www.parliament.gov.sg/docs/default-source/default-document-library/goods-and-services-tax-(amendment)-bill-34-2017.pdf?sfvrsn=0,Goods and Services Tax (Amendment) Bill,"
                   02.10.2017
            ","
                   02.10.2017
            "
"
                 33/2017
            ","
                  11.09.2017
            ",http://www.parliament.gov.sg/docs/default-source/default-document-library/audit-(amendment)-bill-33-2017.pdf?sfvrsn=0,Audit (Amendment) Bill,"
                   02.10.2017
            ","
                   02.10.2017
            "
"
                 32/2017
            ","
                  11.09.2017
            ",http://www.parliament.gov.sg/docs/default-source/default-document-library/infrastructure-protection-bill-32-2017.pdf?sfvrsn=0,Infrastructure Protection Bill,"
                   02.10.2017
            ","
                   02.10.2017
            "
"
                 31/2017
            ","
                  11.09.2017
            ",http://www.parliament.gov.sg/docs/default-source/default-document-library/maritime-and-port-authority-of-singapore-(amendment)-bill-31-2017.pdf?sfvrsn=0,Maritime and Port Authority of Singapore (Amendment) Bill,"
                   02.10.2017
            ","
                   02.10.2017
            "
"
                 30/2017
            ","
                  01.08.2017
            ",http://www.parliament.gov.sg/docs/default-source/default-document-library/professional-engineers-amendment-bill-30-2017.pdf?sfvrsn=0,Professional Engineers (Amendment) Bill,"
                   11.09.2017
            ","
                   11.09.2017
            "
"
                 29/2017
            ","
                  01.08.2017
            ",http://www.parliament.gov.sg/docs/default-source/default-document-library/bmsm_bill-29-2017.pdf?sfvrsn=0,Building Maintenance and Strata Management (Amendment) Bill,"
                   11.09.2017
            ","
                   11.09.2017
            "
"
                 28/2017
            ","
                  01.08.2017
            ",http://www.parliament.gov.sg/docs/default-source/default-document-library/jurong-town-corporation-amendment-bill-28-2017.pdf?sfvrsn=0,Jurong Town Corporation (Amendment) Bill,"
                   11.09.2017
            ","
                   11.09.2017
            "
"
                 27/2017
            ","
                  03.07.2017
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/administration-of-muslim-law-(amendment)-bill-27-2017.pdf?sfvrsn=0,Administration of Muslim Law (Amendment) Bill,"
                   01.08.2017
            ","
                   01.08.2017
            "
"
                 26/2017
            ","
                  08.05.2017
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/home-team-corps-bill---26-2017.pdf?sfvrsn=0,Home Team Corps Bill,"
                   04.07.2017
            ","
                   04.07.2017
            "
"
                 25/2017
            ","
                  08.05.2017
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/monetary-authority-of-singapore-(amendment)-bill-25-2017.pdf?sfvrsn=0,Monetary Authority of Singapore (Amendment) Bill,"
                   04.07.2017
            ","
                   04.07.2017
            "
"
                 24/2017
            ","
                  03.04.2017
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/singapore-university-of-social-sciences-bill-24-2017.pdf?sfvrsn=0,Singapore University of Social Sciences Bill,"
                   08.05.2017
            ","
                   08.05.2017
            "
"
                 23/2017
            ","
                  03.04.2017
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/registered-designs-(amendment)-bill-23-2017.pdf?sfvrsn=0,Registered Designs (Amendment) Bill,"
                   08.05.2017
            ","
                   08.05.2017
            "
"
                 22/2017
            ","
                  02.04.2017
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/public-entertainments-and-meetings-(amendment)-bill-22-2017.pdf?sfvrsn=0,Public Entertainments and Meetings (Amendment) Bill,"
                   08.05.2017
            ","
                   08.05.2017
            "
"
                 21/2017
            ","
                  03.04.2017
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/terrorism-(suppression-of-misuse-of-radioactive-material)-bill-21-2017.pdf?sfvrsn=0,Terrorism (Suppression of Misuse of Radioactive Material) Bill,"
                   08.05.2017
            ","
                   08.05.2017
            "
"
                 20/2017
            ","
                  03.04.2017
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/prevention-of-pollution-of-the-sea-(amendment)-bill-20-2017.pdf?sfvrsn=0,Prevention of Pollution of the Sea (Amendment) Bill,"
                   08.05.2017
            ","
                   08.05.2017
            "
"
                 19/2017
            ","
                  03.04.2017
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/merchant-shipping-(wreck-removal)-bill-19-2017.pdf?sfvrsn=0,Merchant Shipping (Wreck Removal) Bill,"
                   08.05.2017
            ","
                   08.05.2017
            "
"
                 18/2017
            ","
                  10.03.2017
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/stamp-duties-(amendment)-bill-18-2017.pdf?sfvrsn=0,Stamp Duties (Amendment) Bill,"
                   10.03.2017
            ","
                   10.03.2017
            "
"
                 17/2017	
            ","
                  09.03.2017
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/energy-conservation-(amendment)-bill-1-2017.pdf?sfvrsn=0,Energy Conservation (Amendment) Bill,"
                   03.04.2017
            ","
                   03.04.2017
            "
"
                 16/2017
            ","
                  09.03.2017
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/public-order-(amendment)-bill-16-2017.pdf?sfvrsn=0,Public Order (Amendment) Bill,"
                   03.04.2017	
            ","
                   03.04.2017	
            "
"
                 15/2017
            ","
                  09.03.2017
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/computer-misuse-and-cybersecurity-(amendment)-bill---15-2017.pdf?sfvrsn=0,Computer Misuse and Cybersecurity (Amendment) Bill,"
                   03.04.2017	
            ","
                   03.04.2017	
            "
"
                 14/2017	
            ","
                  28.02.2017
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/limited-liability-partnerships-(amendment)-bill-14-2017.pdf?sfvrsn=0,Limited Liability Partnerships (Amendment) Bill,"
                   10.03.2017	
            ","
                   10.03.2017	
            "
"
                 13/2017	
            ","
                  28.02.2017
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/companies-(amendment)-bill-13-2017.pdf?sfvrsn=0,Companies (Amendment) Bill,"
                   10.03.2017	
            ","
                   10.03.2017	
            "
"
                 12/2017	
            ","
                  28.02.2017
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/trustees_(amendment)-bill-12-2017.pdf?sfvrsn=0,Trustees (Amendment) Bill,"
                   10.03.2017	
            ","
                   10.03.2017	
            "
"
                 11/2017	
            ","
                  28.02.2017
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/supplementary-supply-(fy-2016)-bill-11-2017.pdf?sfvrsn=0,Supplementary Supply (FY 2016) Bill,"
                   09.03.2017	
            ","
                   09.03.2017	
            "
"
                 10/2017	
            ","
                  28.02.2017
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/supply-bill-10-2017.pdf?sfvrsn=0,Supply Bill,"
                   09.03.2017	
            ","
                   09.03.2017	
            "
"
                 09/2017	
            ","
                  06.02.2017
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/town-councils-(amendment)-bill-9-2017.pdf?sfvrsn=0,Town Councils (Amendment) Bill,"
                   10.03.2017	
            ","
                   10.03.2017	
            "
"
                 08/2017
            ","
                  06.02.2017
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/architects-(amendment)-bill-8-2017.pdf?sfvrsn=0,Architects (Amendment) Bill,"
                   28.02.2017	
            ","
                   28.02.2017	
            "
"
                 07/2017	
            ","
                  09.01.2017
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/early-childhood-development-centres-bill-7-2017.pdf?sfvrsn=0,Early Childhood Development Centres Bill,"
                   07.02.2017	
            ","
                   07.02.2017	
            "
"
                 06/2017	
            ","
                  06.02.2017
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/patents-(amendment)-bill-6-2017.pdf?sfvrsn=0,Patents (Amendment) Bill,"
                   28.02.2017
            ","
                   28.02.2017
            "
"
                 05/2017	
            ","
                  10.01.2017
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/road-traffic-(amendment)-bill-5-2017.pdf?sfvrsn=0,Road Traffic (Amendment) Bill,"
                   07.02.2017	
            ","
                   07.02.2017	
            "
"
                 04/2017	
            ","
                  09.01.2017
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/parks-and-trees-(amendment)-bill-4-2017.pdf?sfvrsn=0,Parks and Trees (Amendment) Bill,"
                   07.02.2017	
            ","
                   07.02.2017	
            "
"
                 03/2017	
            ","
                  09.01.2017
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/planning-(amendment)-bill-3-2017.pdf?sfvrsn=0,Planning (Amendment) Bill,"
                   06.02.2017
            ","
                   06.02.2017
            "
"
                 02/2017	
            ","
                  09.01.2017
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/presidential-elections-(amendment)-bill-2-2017.pdf?sfvrsn=0,Presidential Elections (Amendment) Bill,"
                   06.02.2017
            ","
                   06.02.2017
            "
"
                 01/2017	
            ","
                  09.01.2017
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/international-enterprise-singapore-board-(amendment)-bill-1-2017.pdf?sfvrsn=0,International Enterprise Singapore Board (Amendment) Bill,"
                   07.02.2017
            ","
                   07.02.2017
            "
"
                 18/2013	
            ","
                  21.10.2013
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/motor-vehicles-(third-party-risks-and-compensation)-(amendment)-bill18-2013.pdf?sfvrsn=0,Motor Vehicles (Third-Party Risks and Compensation) (Amendment) Bill,"
                   11.11.2013
            ","
                   11.11.2013
            "
"
                 17/2013	
            ","
                  21.10.2013
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/goods-and-services-tax-(amendment)-bill.pdf?sfvrsn=0,Goods and Services Tax (Amendment) Bill,"
                   11.11.2013	
            ","
                   11.11.2013	
            "
"
                 16/2013	
            ","
                  21.10.2013
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/criminal-law-(temporary-provisions)-(amendment)-bill16-2013.pdf?sfvrsn=0,Criminal Law (Temporary Provisions) (Amendment) Bill,"
                   11.11.2013	
            ","
                   11.11.2013	
            "
"
                 15/2013	
            ","
                  16.09.2013
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/jurong-town-corporation-(amendment)-bill.pdf?sfvrsn=0,Jurong Town Corporation (Amendment) Bill,"
                   21.10.2013	
            ","
                   21.10.2013	
            "
"
                 14/2013	
            ","
                  16.09.2013
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/income-tax-(amendment)-bill.pdf?sfvrsn=0,Income Tax (Amendment) Bill,"
                   21.10.2013	
            ","
                   21.10.2013	
            "
"
                 13/2013	
            ","
                  16.09.2013
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/property-tax-(amendment)-bill.pdf?sfvrsn=0,Property Tax (Amendment) Bill,"
                   21.10.2013
            ","
                   21.10.2013
            "
"
                 12/2013	
            ","
                  08.07.2013
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/status-of-children(assisted-reproduction-technology)-bill12-2013.pdf?sfvrsn=0,Status of Children (Assisted Reproduction Technology) Bill,"
                   12.08.2013	
            ","
                   12.08.2013	
            "
"
                 11/2013	
            ","
                  08.07.2013
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/terrorism-(suppression-of-financing)-(amendment)-bill-11-2013.pdf?sfvrsn=0,Terrorism (Suppression of Financing) (Amendment) Bill,"
                   12.08.2013	
            ","
                   12.08.2013	
            "
"
                 10/2013	
            ","
                  15.03.2013
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/child-development-co-savings-(amendment)-bill-10-2013.pdf?sfvrsn=0,Child Development Co-Savings (Amendment) Bill,"
                   08.04.2013	
            ","
                   08.04.2013	
            "
"
                 09/2013	
            ","
                  05.03.2013
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/supplementary-supply-(fy-2012)-bill-9-2013.pdf?sfvrsn=0,Supplementary Supply (FY 2012) Bill,"
                   15.03.2013	
            ","
                   15.03.2013	
            "
"
                 08/2013	
            ","
                  05.03.2013
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/supply-bill-8-2013.pdf?sfvrsn=0,Supply Bill,"
                   15.03.2013	
            ","
                   15.03.2013	
            "
"
                 07/2013	
            ","
                  06.02.2013
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/housing-developers-(control-and-licensing)-(amendment)-bill-7-2013.pdf?sfvrsn=0,Housing Developers (Control and Licensing) (Amendment) Bill,"
                   08.04.2013	
            ","
                   08.04.2013	
            "
"
                 06/2013	
            ","
                  04.02.2013
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/financial-holding-companies-bill-6-2013.pdf?sfvrsn=0,Financial Holding Companies Bill,"
                   08.04.2013	
            ","
                   08.04.2013	
            "
"
                 05/2013	
            ","
                  04.02.2013
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/insurance-(amendment)-bill-5-2013.pdf?sfvrsn=0,Insurance (Amendment) Bill,"
                   15.03.2013	
            ","
                   15.03.2013	
            "
"
                 04/2013	
            ","
                  04.02.2013
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/financial-institutions-(miscellaneous-amendment)-bill-4-2013.pdf?sfvrsn=0,Financial Institutions (Miscellaneous Amendments) Bill,"
                   15.03.2013	
            ","
                   15.03.2013	
            "
"
                 03/2013	
            ","
                  04.02.2013
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/monetary-authority-of-singapore-(amendment)-bill-3-2013.pdf?sfvrsn=0,Monetary Authority of Singapore (Amendment) Bill,"
                   15.03.2013	
            ","
                   15.03.2013	
            "
"
                 02/2013	
            ","
                  14.01.2013
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/legal-aid-and-advice-(amendment)-bill-2-2013.pdf?sfvrsn=0,Legal Aid and Advice (Amendment) Bill,"
                   04.02.2013	
            ","
                   04.02.2013	
            "
"
                 01/2013	
            ","
                  14.01.2013
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/fire-safety-(amendment)-bill-1-2013.pdf?sfvrsn=0,Fire Safety (Amendment) Bill,"
                   08.04.2013	
            ","
                   08.04.2013	
            "
"
                 40/2012	
            ","
                  15.11.2012
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/singapore-accountancy-commission-bill-40-2012.pdf?sfvrsn=0,Singapore Accountancy Commission Bill,"
                   14.01.2013	
            ","
                   14.01.2013	
            "
"
                 39/2012	
            ","
                  12.11.2012
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/economic-expansion-incentives-(relief-from-income-tax)-(amendmentno-2)-bill-39-2012.pdf?sfvrsn=0,Economic Expansion Incentives (Relief from Income Tax) (Amendment No. 2) Bill,"
                   14.01.2013	
            ","
                   14.01.2013	
            "
"
                 38/2012	
            ","
                  12.11.2012
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/stamp-duties-(amendment)-bill-38-2012.pdf?sfvrsn=0,Stamp Duties (Amendment) Bill,"
                   14.01.2013	
            ","
                   14.01.2013	
            "
"
                 37/2012	
            ","
                  12.11.2012
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/payment-systems-(oversight)-(amendment)-bill-37-2012.pdf?sfvrsn=0,Payment Systems (Oversight) (Amendment) Bill,"
                   14.01.2013	
            ","
                   14.01.2013	
            "
